1,13
2,23
4,23
5,35
6,35
7,18
8,29
10,26
12,35
14,18
15,16
17,19
20,37
21,31
22,35
26,30
27,35
29,32
30,31
33,19
34,15
37,38
45,23
46,33
49,27
51,16
52,23
54,18
55,27
56,35
59,14
60,30
61,31
63,22
64,23
65,17
66,25
68,26
73,33
74,15
76,16
78,29
81,37
85,34
89,14
90,19
92,22
96,26
97,19
100,11
101,26
102,33
103,21
106,29
107,33
108,24
112,29
113,22
114,21
116,31
120,18
122,28
124,35
126,15
132,24
133,35
134,28
135,33
136,23
137,31
138,23
140,23
141,37
142,28
144,17
145,33
146,29
150,25
153,14
154,19
155,28
156,21
158,25
159,18
162,23
164,20
167,14
168,29
170,25
171,24
173,34
175,24
176,12
179,31
181,20
186,16
190,29
191,27
194,31
196,15
198,16
199,26
200,35
206,35
210,12
212,20
214,19
215,25
216,21
218,16
219,33
220,17
221,13
223,22
224,32
225,21
229,18
230,15
231,18
232,11
233,29
235,20
236,25
238,24
241,27
245,19
246,14
250,12
253,17
254,18
259,22
260,17
261,28
263,17
269,18
271,37
274,25
280,28
281,19
282,34
284,15
286,26
287,27
289,13
293,18
294,24
295,30
296,14
298,31
299,23
302,16
303,14
304,11
308,26
309,30
310,25
312,20
317,25
319,29
320,22
322,34
324,23
326,17
327,35
328,32
330,33
331,33
332,14
334,35
341,14
342,35
346,16
347,15
348,36
350,31
352,25
356,19
357,23
358,20
361,29
362,20
363,27
365,13
369,31
371,20
372,18
374,20
376,19
378,25
379,13
386,19
388,21
389,14
390,27
391,15
392,13
393,15
394,18
397,29
