1,40.9
2,28.8
4,11.0
5,19.4
6,14.0
7,32.9
8,15.0
10,36.0
12,33.7
14,19.9
15,29.0
17,29.5
20,36.0
21,16.2
22,31.5
26,28.8
27,25.0
29,38.0
30,19.8
33,21.5
34,23.6
37,32.7
45,20.3
46,18.5
49,38.1
51,33.5
52,25.0
54,18.0
55,19.4
56,20.0
59,21.0
60,33.0
61,18.0
63,18.5
64,28.0
65,16.2
66,38.0
68,32.2
73,23.0
74,26.0
76,30.5
78,32.2
81,22.4
85,35.1
89,25.4
90,27.5
92,27.5
96,9.0
97,18.2
100,14.5
101,25.4
102,18.6
103,22.0
106,22.0
107,14.0
108,32.8
112,26.5
113,34.2
114,33.8
116,16.2
120,20.2
122,25.4
124,32.2
126,27.2
132,20.0
133,37.2
134,9.0
135,19.4
136,34.5
137,22.3
138,38.1
140,34.0
141,33.0
142,22.0
144,28.8
145,28.1
146,21.5
150,37.2
153,21.1
154,20.2
155,26.0
156,29.0
158,16.5
159,30.0
162,26.4
164,20.2
167,33.5
168,20.3
170,23.9
171,9.0
173,40.9
175,27.5
176,12.0
179,44.0
181,26.6
186,19.8
190,31.3
191,20.0
194,27.0
196,14.5
198,26.5
199,39.4
200,39.4
206,20.5
210,26.5
212,26.0
214,40.8
215,32.7
216,29.0
218,13.0
219,32.8
220,26.0
221,23.9
223,38.0
224,32.8
225,26.5
229,24.3
230,17.5
231,32.0
232,15.5
233,25.0
235,18.2
236,20.5
238,12.0
241,21.1
245,33.7
246,34.5
250,10.0
253,30.0
254,19.4
259,30.0
260,25.0
261,20.5
263,35.0
269,29.5
271,36.1
274,27.2
280,25.4
281,36.1
282,16.5
284,16.2
286,26.0
287,23.6
289,26.5
293,18.5
294,40.8
295,33.5
296,27.9
298,26.5
299,34.5
302,27.0
303,31.0
304,29.5
308,33.8
309,28.8
310,16.5
312,33.8
317,34.2
319,39.4
320,24.3
322,16.2
324,36.0
326,24.5
327,21.6
328,31.3
330,20.3
331,40.8
332,31.5
334,23.7
341,22.3
342,39.4
346,25.4
347,22.4
348,21.0
350,33.0
352,27.9
356,23.0
357,22.3
358,23.0
361,25.4
362,20.6
363,27.0
365,39.4
369,22.0
371,37.3
372,24.3
374,16.0
376,23.0
378,9.0
379,34.0
386,34.0
388,15.0
389,39.4
390,19.0
391,20.5
392,16.0
393,18.2
394,37.2
397,38.0
